,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
67,Sacramento Kings,Brooklyn Nets,36,37,42,38,30,24,28,39,16.11.2022
68,Los Angeles Lakers,Brooklyn Nets,26,29,25,36,22,24,31,26,14.11.2022
69,Los Angeles Clippers,Brooklyn Nets,19,31,21,24,24,30,21,35,12.11.2022
70,Brooklyn Nets,New York Knicks,38,31,23,20,22,22,27,14,10.11.2022
71,Dallas Mavericks,Brooklyn Nets,29,24,19,24,34,16,23,21,08.11.2022
72,Charlotte Hornets,Brooklyn Nets,21,23,26,24,30,22,17,29,06.11.2022
73,Washington Wizards,Brooklyn Nets,28,29,13,16,38,31,27,32,05.11.2022
74,Brooklyn Nets,Chicago Bulls,27,31,22,19,25,27,25,31,02.11.2022
75,Brooklyn Nets,Indiana Pacers,33,28,31,24,18,36,31,24,01.11.2022
76,Brooklyn Nets,Indiana Pacers,26,36,28,26,26,37,29,33,30.10.2022
77,Brooklyn Nets,Dallas Mavericks,23,36,25,28,30,31,29,22,"28.10.2022
AOT"
78,Milwaukee Bucks,Brooklyn Nets,25,18,35,32,20,35,21,23,27.10.2022
79,Memphis Grizzlies,Brooklyn Nets,39,25,45,25,34,35,28,27,25.10.2022
80,Brooklyn Nets,Toronto Raptors,28,21,29,31,24,28,27,26,22.10.2022
81,Brooklyn Nets,New Orleans Pelicans,14,36,28,30,32,26,40,32,20.10.2022
82,Minnesota Timberwolves,Brooklyn Nets,22,27,27,26,28,37,22,25,15.10.2022
83,Milwaukee Bucks,Brooklyn Nets,25,26,24,22,33,26,33,15,13.10.2022
84,Brooklyn Nets,Miami Heat,18,25,14,23,25,36,22,26,07.10.2022
85,Brooklyn Nets,Philadelphia 76ers,26,36,24,22,42,23,36,26,04.10.2022
86,Boston Celtics,Brooklyn Nets,22,30,17,26,23,23,26,30,17.07.2022
87,Minnesota Timberwolves,Brooklyn Nets,20,22,25,16,25,30,24,23,15.07.2022
88,Brooklyn Nets,Memphis Grizzlies,22,19,26,17,34,31,23,32,12.07.2022
89,Brooklyn Nets,Philadelphia 76ers,22,22,23,24,21,21,24,18,10.07.2022
90,Milwaukee Bucks,Brooklyn Nets,21,23,28,22,20,20,15,35,09.07.2022
