,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
64,Oklahoma City Thunder,Denver Nuggets,21,42,34,23,38,31,15,36,"24.11.2022
AOT"
65,Oklahoma City Thunder,New York Knicks,34,24,29,32,38,31,29,31,22.11.2022
66,Memphis Grizzlies,Oklahoma City Thunder,33,30,29,29,28,31,24,27,19.11.2022
67,Washington Wizards,Oklahoma City Thunder,37,30,20,33,29,25,35,32,17.11.2022
68,Boston Celtics,Oklahoma City Thunder,32,30,27,37,35,34,27,26,15.11.2022
69,New York Knicks,Oklahoma City Thunder,48,25,33,29,36,43,43,23,13.11.2022
70,Oklahoma City Thunder,Toronto Raptors,29,41,36,26,24,32,29,28,12.11.2022
71,Oklahoma City Thunder,Milwaukee Bucks,27,28,32,32,27,28,29,35,"10.11.2022
AOT"
72,Detroit Pistons,Oklahoma City Thunder,28,20,36,28,33,30,22,18,08.11.2022
73,Milwaukee Bucks,Oklahoma City Thunder,34,33,26,15,34,19,25,16,06.11.2022
74,Oklahoma City Thunder,Denver Nuggets,29,28,38,15,42,29,22,29,04.11.2022
75,Oklahoma City Thunder,Orlando Magic,33,30,22,31,32,34,22,20,02.11.2022
76,Dallas Mavericks,Oklahoma City Thunder,25,26,20,28,27,19,26,27,"30.10.2022
AOT"
77,Oklahoma City Thunder,Los Angeles Clippers,34,19,36,29,24,36,27,23,28.10.2022
78,Oklahoma City Thunder,Los Angeles Clippers,23,26,35,24,18,25,25,26,26.10.2022
79,Oklahoma City Thunder,Minnesota Timberwolves,18,26,30,32,31,22,29,34,24.10.2022
80,Denver Nuggets,Oklahoma City Thunder,28,27,33,34,29,26,30,32,23.10.2022
81,Minnesota Timberwolves,Oklahoma City Thunder,35,30,22,28,22,30,35,21,20.10.2022
82,San Antonio Spurs,Oklahoma City Thunder,31,31,29,21,26,36,27,29,14.10.2022
83,Detroit Pistons,Oklahoma City Thunder,32,25,17,25,28,26,28,33,12.10.2022
84,Oklahoma City Thunder (Usa),Maccabi Raanana (Isr),33,38,48,25,29,25,23,20,10.10.2022
85,Oklahoma City Thunder (Usa),Adelaide (Aus),35,38,35,23,16,27,27,28,07.10.2022
86,Oklahoma City Thunder,Dallas Mavericks,26,26,23,21,28,25,20,25,06.10.2022
87,Denver Nuggets,Oklahoma City Thunder,21,31,30,19,30,21,39,22,04.10.2022
88,New Orleans Pelicans,Oklahoma City Thunder,30,21,28,28,21,20,13,17,17.07.2022
89,Golden State Warriors,Oklahoma City Thunder,18,19,21,24,19,24,20,27,16.07.2022
90,Oklahoma City Thunder,Sacramento Kings,15,29,24,18,19,13,21,27,14.07.2022
