,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
65,Brooklyn Nets,Memphis Grizzlies,28,29,39,31,29,33,31,22,21.11.2022
66,Memphis Grizzlies,Oklahoma City Thunder,33,30,29,29,28,31,24,27,19.11.2022
67,New Orleans Pelicans,Memphis Grizzlies,32,27,30,24,35,25,27,15,16.11.2022
68,Washington Wizards,Memphis Grizzlies,23,32,27,20,19,32,23,18,14.11.2022
69,Memphis Grizzlies,Minnesota Timberwolves,33,39,24,18,30,33,21,19,12.11.2022
70,San Antonio Spurs,Memphis Grizzlies,32,27,35,18,38,28,23,23,"10.11.2022
AOT"
71,Memphis Grizzlies,Boston Celtics,34,20,31,21,28,37,19,25,08.11.2022
72,Memphis Grizzlies,Washington Wizards,24,33,24,22,25,18,31,23,07.11.2022
73,Memphis Grizzlies,Charlotte Hornets,41,30,33,26,24,23,22,30,05.11.2022
74,Portland Trail Blazers,Memphis Grizzlies,23,22,27,34,30,22,26,33,03.11.2022
75,Utah Jazz,Memphis Grizzlies,23,38,36,24,26,18,30,31,01.11.2022
76,Utah Jazz,Memphis Grizzlies,24,38,33,29,30,24,37,32,30.10.2022
77,Sacramento Kings,Memphis Grizzlies,28,28,27,27,32,31,31,31,28.10.2022
78,Memphis Grizzlies,Brooklyn Nets,39,25,45,25,34,35,28,27,25.10.2022
79,Dallas Mavericks,Memphis Grizzlies,39,25,35,38,17,19,35,25,23.10.2022
80,Houston Rockets,Memphis Grizzlies,32,38,30,22,26,36,33,34,22.10.2022
81,Memphis Grizzlies,New York Knicks,25,36,24,23,23,23,33,29,"20.10.2022
AOT"
82,Detroit Pistons,Memphis Grizzlies,17,36,35,23,31,29,35,31,14.10.2022
83,Orlando Magic,Memphis Grizzlies,31,23,23,32,17,30,24,34,12.10.2022
84,Memphis Grizzlies,Miami Heat,29,28,21,30,21,34,28,28,08.10.2022
85,Memphis Grizzlies,Orlando Magic,25,31,30,23,21,21,27,28,04.10.2022
86,Milwaukee Bucks,Memphis Grizzlies,16,32,28,26,18,27,21,41,02.10.2022
87,San Antonio Spurs,Memphis Grizzlies,17,30,21,22,22,25,12,28,16.07.2022
88,Boston Celtics,Memphis Grizzlies,24,27,28,29,16,23,24,28,14.07.2022
89,Brooklyn Nets,Memphis Grizzlies,22,19,26,17,34,31,23,32,12.07.2022
90,Memphis Grizzlies,Minnesota Timberwolves,21,10,16,23,17,14,15,17,11.07.2022
91,Memphis Grizzlies,Los Angeles Clippers,15,17,23,21,28,24,25,17,10.07.2022
92,Utah Jazz,Memphis Grizzlies,29,21,18,16,17,21,30,27,08.07.2022
93,Oklahoma City Thunder,Memphis Grizzlies,20,28,24,15,20,23,14,14,07.07.2022
94,Philadelphia 76ers,Memphis Grizzlies,28,26,29,16,34,28,26,15,06.07.2022
95,Golden State Warriors,Memphis Grizzlies,30,23,25,32,26,25,26,19,14.05.2022
96,Memphis Grizzlies,Golden State Warriors,38,39,42,15,28,22,17,28,12.05.2022
97,Golden State Warriors,Memphis Grizzlies,20,18,24,39,24,17,28,29,10.05.2022
98,Golden State Warriors,Memphis Grizzlies,26,38,37,41,28,29,23,32,08.05.2022
99,Memphis Grizzlies,Golden State Warriors,33,23,21,29,25,26,26,24,04.05.2022
100,Memphis Grizzlies,Golden State Warriors,32,29,29,26,24,31,36,26,01.05.2022
101,Minnesota Timberwolves,Memphis Grizzlies,29,23,32,22,28,21,25,40,30.04.2022
102,Memphis Grizzlies,Minnesota Timberwolves,28,25,21,37,31,24,30,24,27.04.2022
103,Minnesota Timberwolves,Memphis Grizzlies,33,27,33,26,28,28,31,31,24.04.2022
104,Minnesota Timberwolves,Memphis Grizzlies,39,12,32,12,21,23,23,37,22.04.2022
105,Memphis Grizzlies,Minnesota Timberwolves,33,27,36,28,32,17,28,19,20.04.2022
106,Memphis Grizzlies,Minnesota Timberwolves,33,29,30,25,41,24,32,33,16.04.2022
107,Memphis Grizzlies,Boston Celtics,25,24,30,31,32,40,32,35,11.04.2022
108,Memphis Grizzlies,New Orleans Pelicans,30,34,55,22,18,29,33,34,09.04.2022
109,Denver Nuggets,Memphis Grizzlies,34,36,35,17,30,23,25,31,08.04.2022
110,Utah Jazz,Memphis Grizzlies,24,26,33,27,19,31,33,27,"06.04.2022
AOT"
111,Memphis Grizzlies,Phoenix Suns,34,20,30,38,23,27,33,31,02.04.2022
112,San Antonio Spurs,Memphis Grizzlies,27,25,34,25,31,34,28,19,31.03.2022
113,Memphis Grizzlies,Golden State Warriors,20,43,32,28,16,21,30,28,29.03.2022
114,Memphis Grizzlies,Milwaukee Bucks,32,27,39,29,28,18,33,23,27.03.2022
115,Memphis Grizzlies,Indiana Pacers,44,30,33,26,23,25,23,32,25.03.2022
116,Memphis Grizzlies,Brooklyn Nets,40,36,27,29,32,30,42,16,24.03.2022
117,Houston Rockets,Memphis Grizzlies,21,23,27,27,30,26,28,38,20.03.2022
118,Atlanta Hawks,Memphis Grizzlies,34,33,24,29,27,21,24,33,19.03.2022
119,Indiana Pacers,Memphis Grizzlies,25,24,21,32,32,42,30,31,16.03.2022
120,Oklahoma City Thunder,Memphis Grizzlies,26,28,25,39,38,23,34,30,14.03.2022
121,Memphis Grizzlies,New York Knicks,34,27,26,31,30,26,40,18,12.03.2022
122,Memphis Grizzlies,New Orleans Pelicans,44,33,35,20,34,24,26,27,09.03.2022
123,Houston Rockets,Memphis Grizzlies,27,25,40,31,34,28,30,20,07.03.2022
124,Memphis Grizzlies,Orlando Magic,31,37,29,27,29,16,29,22,06.03.2022
125,Boston Celtics,Memphis Grizzlies,26,21,36,37,20,25,27,35,04.03.2022
126,Memphis Grizzlies,San Antonio Spurs,42,26,28,22,34,24,27,20,01.03.2022
127,Chicago Bulls,Memphis Grizzlies,22,30,27,31,31,28,34,23,27.02.2022
128,Minnesota Timberwolves,Memphis Grizzlies,21,32,31,35,31,25,27,31,25.02.2022
129,Memphis Grizzlies,Portland Trail Blazers,32,25,33,29,36,32,26,29,17.02.2022
130,New Orleans Pelicans,Memphis Grizzlies,27,26,30,26,37,28,28,28,16.02.2022
131,Charlotte Hornets,Memphis Grizzlies,15,28,32,43,36,38,25,26,13.02.2022
132,Detroit Pistons,Memphis Grizzlies,19,31,30,27,41,24,30,37,11.02.2022
133,Memphis Grizzlies,Los Angeles Clippers,38,32,34,31,27,28,19,35,09.02.2022
134,Orlando Magic,Memphis Grizzlies,24,32,25,34,37,39,32,27,05.02.2022
135,New York Knicks,Memphis Grizzlies,27,25,27,29,35,29,28,28,03.02.2022
136,Philadelphia 76ers,Memphis Grizzlies,39,24,21,27,30,28,22,31,"01.02.2022
AOT"
137,Memphis Grizzlies,Washington Wizards,30,33,24,28,15,26,31,23,30.01.2022
138,Memphis Grizzlies,Utah Jazz,31,28,29,31,30,21,27,31,29.01.2022
139,San Antonio Spurs,Memphis Grizzlies,25,33,28,24,34,27,33,24,27.01.2022
140,Dallas Mavericks,Memphis Grizzlies,24,24,29,27,16,18,27,30,24.01.2022
141,Denver Nuggets,Memphis Grizzlies,28,35,29,26,37,31,30,24,22.01.2022
142,Milwaukee Bucks,Memphis Grizzlies,36,25,35,30,30,17,40,27,20.01.2022
143,Memphis Grizzlies,Chicago Bulls,20,38,34,27,20,25,27,34,17.01.2022
144,Memphis Grizzlies,Dallas Mavericks,29,26,18,12,25,25,34,28,15.01.2022
145,Memphis Grizzlies,Minnesota Timberwolves,25,28,37,26,31,29,24,24,14.01.2022
146,Memphis Grizzlies,Golden State Warriors,28,31,28,29,24,27,39,18,12.01.2022
147,Los Angeles Lakers,Memphis Grizzlies,27,25,31,36,27,38,42,20,10.01.2022
148,Los Angeles Clippers,Memphis Grizzlies,36,20,28,24,28,38,28,29,08.01.2022
149,Memphis Grizzlies,Detroit Pistons,32,30,28,28,18,28,22,20,07.01.2022
150,Cleveland Cavaliers,Memphis Grizzlies,30,25,20,31,27,30,19,34,05.01.2022
151,Brooklyn Nets,Memphis Grizzlies,24,23,26,31,29,27,40,22,04.01.2022
152,Memphis Grizzlies,San Antonio Spurs,32,31,27,28,26,35,18,26,01.01.2022
153,Memphis Grizzlies,Los Angeles Lakers,23,25,30,26,30,24,29,16,30.12.2021
