,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
67,Portland Trail Blazers,San Antonio Spurs,30,32,31,24,29,27,33,21,16.11.2022
68,Golden State Warriors,San Antonio Spurs,33,28,38,33,26,19,23,27,15.11.2022
69,San Antonio Spurs,Milwaukee Bucks,31,23,29,28,27,19,30,17,12.11.2022
70,San Antonio Spurs,Memphis Grizzlies,32,27,35,18,38,28,23,23,"10.11.2022
AOT"
71,San Antonio Spurs,Denver Nuggets,28,34,27,20,28,37,29,21,08.11.2022
72,Denver Nuggets,San Antonio Spurs,40,30,29,27,27,24,25,25,06.11.2022
73,San Antonio Spurs,Los Angeles Clippers,18,40,28,20,28,26,28,31,05.11.2022
74,San Antonio Spurs,Toronto Raptors,31,18,21,30,32,32,40,39,03.11.2022
75,San Antonio Spurs,Minnesota Timberwolves,26,31,28,22,23,24,23,28,31.10.2022
76,San Antonio Spurs,Chicago Bulls,36,26,32,35,29,31,34,30,29.10.2022
77,Minnesota Timberwolves,San Antonio Spurs,39,29,34,32,28,25,41,28,27.10.2022
78,Minnesota Timberwolves,San Antonio Spurs,28,29,14,35,39,28,36,12,25.10.2022
79,Philadelphia 76ers,San Antonio Spurs,25,26,26,28,19,35,31,29,22.10.2022
80,Indiana Pacers,San Antonio Spurs,26,29,30,49,36,34,32,35,22.10.2022
81,San Antonio Spurs,Charlotte Hornets,22,25,28,27,38,30,30,31,20.10.2022
82,San Antonio Spurs,Oklahoma City Thunder,31,31,29,21,26,36,27,29,14.10.2022
83,Utah Jazz,San Antonio Spurs,26,21,26,31,39,24,30,18,12.10.2022
84,San Antonio Spurs,New Orleans Pelicans,24,20,22,31,28,22,37,24,10.10.2022
85,San Antonio Spurs,Orlando Magic,33,19,31,16,19,30,27,26,07.10.2022
86,Houston Rockets,San Antonio Spurs,30,32,35,37,17,20,30,29,03.10.2022
87,San Antonio Spurs,Memphis Grizzlies,17,30,21,22,22,25,12,28,16.07.2022
88,San Antonio Spurs,Atlanta Hawks,21,28,21,16,20,16,25,26,14.07.2022
89,San Antonio Spurs,Houston Rockets,20,34,11,19,19,27,21,30,12.07.2022
90,San Antonio Spurs,Golden State Warriors,23,25,20,17,24,10,27,25,11.07.2022
91,Cleveland Cavaliers,San Antonio Spurs,27,21,30,21,22,23,17,28,08.07.2022
92,New Orleans Pelicans,San Antonio Spurs,26,35,31,21,22,28,25,28,14.04.2022
93,Dallas Mavericks,San Antonio Spurs,28,31,38,33,29,30,23,38,11.04.2022
94,San Antonio Spurs,Golden State Warriors,21,23,27,23,23,31,24,22,10.04.2022
95,Minnesota Timberwolves,San Antonio Spurs,30,34,33,30,35,22,25,39,08.04.2022
96,Denver Nuggets,San Antonio Spurs,30,14,35,18,32,32,21,31,06.04.2022
97,San Antonio Spurs,Portland Trail Blazers,26,22,34,31,23,33,16,20,04.04.2022
98,San Antonio Spurs,Portland Trail Blazers,34,43,24,29,29,20,32,30,02.04.2022
99,San Antonio Spurs,Memphis Grizzlies,27,25,34,25,31,34,28,19,31.03.2022
100,Houston Rockets,San Antonio Spurs,31,24,29,36,39,28,29,27,29.03.2022
101,New Orleans Pelicans,San Antonio Spurs,32,25,27,19,22,36,26,23,26.03.2022
102,Portland Trail Blazers,San Antonio Spurs,27,26,28,15,45,36,33,19,24.03.2022
103,Golden State Warriors,San Antonio Spurs,22,35,27,24,36,27,20,27,21.03.2022
104,San Antonio Spurs,New Orleans Pelicans,10,23,24,34,35,29,31,29,19.03.2022
105,San Antonio Spurs,Oklahoma City Thunder,37,31,30,24,29,27,35,29,17.03.2022
106,San Antonio Spurs,Minnesota Timberwolves,32,41,33,33,40,35,46,28,15.03.2022
107,San Antonio Spurs,Indiana Pacers,26,38,18,26,34,37,26,22,13.03.2022
108,San Antonio Spurs,Utah Jazz,30,20,14,40,33,26,15,28,12.03.2022
109,San Antonio Spurs,Toronto Raptors,29,32,23,20,34,24,33,28,10.03.2022
110,San Antonio Spurs,Los Angeles Lakers,31,31,33,22,22,34,36,18,08.03.2022
111,Charlotte Hornets,San Antonio Spurs,31,31,37,24,30,30,37,20,06.03.2022
112,San Antonio Spurs,Sacramento Kings,27,24,31,30,30,34,24,27,04.03.2022
113,Memphis Grizzlies,San Antonio Spurs,42,26,28,22,34,24,27,20,01.03.2022
114,Miami Heat,San Antonio Spurs,28,33,38,34,40,18,39,32,27.02.2022
115,Washington Wizards,San Antonio Spurs,33,38,29,30,30,45,26,29,"26.02.2022
AOT"
116,Oklahoma City Thunder,San Antonio Spurs,29,29,23,25,34,39,16,25,17.02.2022
117,Chicago Bulls,San Antonio Spurs,29,30,24,37,27,30,32,20,15.02.2022
118,New Orleans Pelicans,San Antonio Spurs,33,20,29,32,37,22,39,26,13.02.2022
119,Atlanta Hawks,San Antonio Spurs,29,27,31,34,43,30,30,33,12.02.2022
