,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
179,Toronto Raptors,Houston Rockets,23,27,18,24,19,16,14,27,13.08.2021
180,Houston Rockets,Detroit Pistons,24,30,29,28,28,15,28,20,11.08.2021
181,Cleveland Cavaliers,Houston Rockets,23,18,20,15,20,20,23,21,08.08.2021
182,Atlanta Hawks,Houston Rockets,36,36,27,25,33,21,18,23,17.05.2021
183,Houston Rockets,Los Angeles Clippers,30,43,32,17,33,36,24,22,15.05.2021
184,Los Angeles Lakers,Houston Rockets,34,25,41,24,26,27,43,26,13.05.2021
185,Portland Trail Blazers,Houston Rockets,50,29,32,29,33,30,37,29,11.05.2021
186,Utah Jazz,Houston Rockets,32,34,30,28,32,28,23,33,09.05.2021
187,Milwaukee Bucks,Houston Rockets,34,30,43,34,34,29,29,41,08.05.2021
188,Houston Rockets,Philadelphia 76ers,30,33,28,24,39,36,33,27,06.05.2021
189,Houston Rockets,New York Knicks,24,20,27,26,34,25,34,29,03.05.2021
190,Houston Rockets,Golden State Warriors,24,31,12,20,22,27,39,25,02.05.2021
191,Houston Rockets,Milwaukee Bucks,29,36,39,39,38,35,25,38,30.04.2021
192,Houston Rockets,Minnesota Timberwolves,23,27,29,28,28,31,19,36,28.04.2021
193,Denver Nuggets,Houston Rockets,36,36,30,27,26,24,32,34,25.04.2021
194,Houston Rockets,Los Angeles Clippers,36,25,19,24,37,28,11,33,24.04.2021
195,Houston Rockets,Utah Jazz,27,16,20,26,34,27,30,21,22.04.2021
196,Miami Heat,Houston Rockets,30,24,35,24,28,27,19,17,20.04.2021
197,Orlando Magic,Houston Rockets,28,31,18,33,28,25,32,29,19.04.2021
198,Houston Rockets,Denver Nuggets,28,21,30,20,35,34,31,28,17.04.2021
199,Houston Rockets,Indiana Pacers,24,31,39,30,33,42,31,26,15.04.2021
200,Phoenix Suns,Houston Rockets,38,43,22,23,29,29,30,32,13.04.2021
201,Golden State Warriors,Houston Rockets,32,33,29,31,30,18,32,29,11.04.2021
202,Los Angeles Clippers,Houston Rockets,26,41,27,32,36,10,37,26,10.04.2021
203,Houston Rockets,Dallas Mavericks,24,23,28,27,23,19,22,29,08.04.2021
204,Houston Rockets,Phoenix Suns,34,26,32,38,34,36,31,32,06.04.2021
205,Houston Rockets,New Orleans Pelicans,27,32,33,23,38,32,19,33,05.04.2021
206,Boston Celtics,Houston Rockets,33,19,30,36,25,19,26,32,03.04.2021
207,Brooklyn Nets,Houston Rockets,29,28,29,34,42,26,19,21,01.04.2021
208,Houston Rockets,Memphis Grizzlies,27,30,34,19,23,34,33,30,30.03.2021
209,Minnesota Timberwolves,Houston Rockets,29,19,30,29,41,33,24,31,28.03.2021
210,Minnesota Timberwolves,Houston Rockets,33,21,22,31,29,34,28,10,27.03.2021
211,Houston Rockets,Charlotte Hornets,26,29,15,27,26,32,35,29,25.03.2021
212,Houston Rockets,Toronto Raptors,27,38,23,29,28,32,26,13,23.03.2021
213,Houston Rockets,Oklahoma City Thunder,22,40,23,27,31,35,24,24,21.03.2021
214,Houston Rockets,Detroit Pistons,28,23,26,23,27,28,29,29,20.03.2021
215,Houston Rockets,Golden State Warriors,27,17,27,23,31,37,18,22,18.03.2021
216,Houston Rockets,Atlanta Hawks,22,36,34,15,35,38,20,26,17.03.2021
217,Houston Rockets,Boston Celtics,34,19,19,35,38,28,38,30,15.03.2021
218,Utah Jazz,Houston Rockets,36,29,27,22,27,21,31,20,13.03.2021
219,Sacramento Kings,Houston Rockets,35,30,30,30,33,18,30,24,12.03.2021
220,Houston Rockets,Brooklyn Nets,27,27,31,29,30,37,34,31,04.03.2021
221,Houston Rockets,Cleveland Cavaliers,29,21,20,20,34,17,23,27,02.03.2021
222,Houston Rockets,Memphis Grizzlies,18,19,23,24,25,38,32,38,01.03.2021
223,Toronto Raptors,Houston Rockets,30,37,28,27,31,28,21,31,27.02.2021
224,Cleveland Cavaliers,Houston Rockets,27,21,34,30,17,33,24,22,25.02.2021
225,Houston Rockets,Chicago Bulls,24,24,26,26,29,25,46,20,23.02.2021
226,Philadelphia 76ers,Houston Rockets,38,31,27,22,24,19,36,34,18.02.2021
227,Washington Wizards,Houston Rockets,38,34,28,31,34,35,20,30,16.02.2021
228,New York Knicks,Houston Rockets,30,33,24,34,25,22,28,24,14.02.2021
229,Houston Rockets,Miami Heat,29,24,10,31,19,28,28,26,12.02.2021
