,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
70,Toronto Raptors,Houston Rockets,29,28,29,30,37,17,28,27,10.11.2022
71,Orlando Magic,Houston Rockets,30,35,23,39,33,38,29,34,08.11.2022
72,Minnesota Timberwolves,Houston Rockets,40,28,35,26,34,15,34,34,06.11.2022
73,Houston Rockets,Los Angeles Clippers,24,29,26,22,34,22,30,23,03.11.2022
74,Los Angeles Clippers,Houston Rockets,30,21,22,22,23,29,24,17,01.11.2022
75,Phoenix Suns,Houston Rockets,29,36,25,34,24,32,30,23,31.10.2022
76,Portland Trail Blazers,Houston Rockets,32,37,27,29,23,35,24,29,29.10.2022
77,Utah Jazz,Houston Rockets,22,39,28,20,21,28,26,26,27.10.2022
78,Houston Rockets,Utah Jazz,21,30,26,37,18,27,28,35,25.10.2022
79,Milwaukee Bucks,Houston Rockets,41,26,31,27,23,25,31,26,23.10.2022
80,Houston Rockets,Memphis Grizzlies,32,38,30,22,26,36,33,34,22.10.2022
81,Atlanta Hawks,Houston Rockets,26,33,25,33,20,30,30,27,20.10.2022
82,Indiana Pacers,Houston Rockets,29,31,32,22,39,42,22,19,15.10.2022
83,Miami Heat,Houston Rockets,26,38,33,21,37,26,27,20,11.10.2022
84,Houston Rockets,Toronto Raptors,28,37,27,24,29,27,23,21,08.10.2022
85,Houston Rockets,San Antonio Spurs,30,32,35,37,17,20,30,29,03.10.2022
86,Sacramento Kings,Houston Rockets,26,19,23,24,24,15,17,25,17.07.2022
87,Houston Rockets,Portland Trail Blazers,28,13,13,23,14,22,27,22,15.07.2022
88,San Antonio Spurs,Houston Rockets,20,34,11,19,19,27,21,30,12.07.2022
89,Houston Rockets,Oklahoma City Thunder,21,24,19,26,25,15,25,23,10.07.2022
90,Orlando Magic,Houston Rockets,23,30,18,20,22,20,23,12,08.07.2022
91,Houston Rockets,Atlanta Hawks,24,35,32,23,35,38,29,28,10.04.2022
92,Toronto Raptors,Houston Rockets,20,37,28,32,36,30,29,20,09.04.2022
93,Brooklyn Nets,Houston Rockets,30,34,26,28,25,22,27,31,06.04.2022
94,Houston Rockets,Minnesota Timberwolves,32,36,24,40,42,38,36,23,04.04.2022
95,Houston Rockets,Sacramento Kings,41,21,29,26,26,31,29,36,02.04.2022
96,Houston Rockets,Sacramento Kings,39,27,37,15,28,44,32,17,31.03.2022
97,Houston Rockets,San Antonio Spurs,31,24,29,36,39,28,29,27,29.03.2022
98,Portland Trail Blazers,Houston Rockets,28,32,18,20,24,36,25,30,27.03.2022
99,Portland Trail Blazers,Houston Rockets,22,31,29,24,35,31,30,29,26.03.2022
100,Dallas Mavericks,Houston Rockets,25,27,30,28,21,32,19,19,24.03.2022
101,Houston Rockets,Washington Wizards,26,25,29,35,39,24,20,14,22.03.2022
102,Houston Rockets,Memphis Grizzlies,21,23,27,27,30,26,28,38,20.03.2022
103,Houston Rockets,Indiana Pacers,32,24,39,23,28,33,22,38,19.03.2022
104,Houston Rockets,Phoenix Suns,31,27,24,30,35,24,36,34,17.03.2022
105,New Orleans Pelicans,Houston Rockets,29,39,30,32,32,23,17,33,14.03.2022
106,Houston Rockets,Dallas Mavericks,23,21,28,28,31,36,29,17,12.03.2022
107,Houston Rockets,Los Angeles Lakers,32,36,29,23,38,25,35,22,"10.03.2022
AOT"
108,Miami Heat,Houston Rockets,25,37,28,33,32,26,20,28,08.03.2022
109,Houston Rockets,Memphis Grizzlies,27,25,40,31,34,28,30,20,07.03.2022
110,Denver Nuggets,Houston Rockets,25,26,36,29,26,20,24,31,05.03.2022
111,Houston Rockets,Utah Jazz,20,33,30,34,25,41,27,24,"03.03.2022
AOT"
112,Houston Rockets,Los Angeles Clippers,27,23,25,25,29,20,40,24,02.03.2022
113,Houston Rockets,Los Angeles Clippers,28,22,30,18,19,27,28,25,28.02.2022
114,Orlando Magic,Houston Rockets,27,31,28,33,33,18,32,28,26.02.2022
115,Los Angeles Clippers,Houston Rockets,36,35,36,35,27,32,20,32,18.02.2022
116,Phoenix Suns,Houston Rockets,27,32,30,35,32,35,28,26,17.02.2022
117,Utah Jazz,Houston Rockets,36,42,22,35,24,29,25,23,15.02.2022
118,Houston Rockets,Toronto Raptors,41,23,28,28,37,36,31,35,11.02.2022
119,New Orleans Pelicans,Houston Rockets,35,29,22,24,30,23,23,21,09.02.2022
120,Houston Rockets,New Orleans Pelicans,21,33,23,30,26,23,38,33,07.02.2022
121,San Antonio Spurs,Houston Rockets,33,24,40,34,25,29,23,29,05.02.2022
122,Houston Rockets,Cleveland Cavaliers,32,32,26,25,31,22,30,21,03.02.2022
123,Houston Rockets,Golden State Warriors,25,27,26,30,23,38,26,35,01.02.2022
124,Houston Rockets,Portland Trail Blazers,20,33,32,25,32,34,25,34,29.01.2022
125,Houston Rockets,San Antonio Spurs,23,28,23,30,34,32,39,29,26.01.2022
126,Golden State Warriors,Houston Rockets,24,19,33,29,30,24,22,27,22.01.2022
127,Utah Jazz,Houston Rockets,27,35,19,30,36,21,26,33,20.01.2022
128,Sacramento Kings,Houston Rockets,21,39,28,24,29,26,30,33,17.01.2022
129,Sacramento Kings,Houston Rockets,31,34,33,28,40,20,29,25,15.01.2022
130,San Antonio Spurs,Houston Rockets,36,31,23,34,39,24,28,37,13.01.2022
131,Houston Rockets,Philadelphia 76ers,27,23,22,19,36,26,29,20,11.01.2022
132,Houston Rockets,Minnesota Timberwolves,26,28,34,35,36,39,36,30,10.01.2022
133,Houston Rockets,Dallas Mavericks,23,37,26,20,43,37,30,20,08.01.2022
134,Washington Wizards,Houston Rockets,26,29,28,28,29,25,32,28,06.01.2022
135,Philadelphia 76ers,Houston Rockets,34,28,41,30,30,33,29,21,04.01.2022
136,Houston Rockets,Denver Nuggets,31,24,19,37,30,47,22,25,02.01.2022
137,Houston Rockets,Miami Heat,30,30,27,23,41,33,26,20,01.01.2022
138,Houston Rockets,Los Angeles Lakers,35,24,33,31,34,33,30,35,29.12.2021
139,Charlotte Hornets,Houston Rockets,33,31,32,27,29,21,20,29,28.12.2021
140,Indiana Pacers,Houston Rockets,36,27,28,27,28,30,36,12,24.12.2021
141,Milwaukee Bucks,Houston Rockets,25,38,34,29,24,26,26,30,23.12.2021
142,Chicago Bulls,Houston Rockets,35,38,32,28,26,28,29,35,21.12.2021
143,Detroit Pistons,Houston Rockets,30,19,26,32,38,24,26,28,18.12.2021
144,Houston Rockets,New York Knicks,30,21,31,21,39,18,27,32,17.12.2021
145,Cleveland Cavaliers,Houston Rockets,35,34,31,24,16,22,25,26,16.12.2021
146,Atlanta Hawks,Houston Rockets,38,31,32,25,28,30,30,44,14.12.2021
147,Memphis Grizzlies,Houston Rockets,40,23,23,27,29,18,30,29,12.12.2021
