,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
68,Sacramento Kings,San Antonio Spurs,37,26,26,41,28,28,26,30,18.11.2022
69,Sacramento Kings,Brooklyn Nets,36,37,42,38,30,24,28,39,16.11.2022
70,Sacramento Kings,Golden State Warriors,26,38,34,24,39,23,29,24,14.11.2022
71,Los Angeles Lakers,Sacramento Kings,23,37,28,26,23,33,31,33,12.11.2022
72,Sacramento Kings,Cleveland Cavaliers,34,35,28,30,29,29,35,27,10.11.2022
73,Golden State Warriors,Sacramento Kings,29,26,24,37,31,36,21,25,08.11.2022
74,Orlando Magic,Sacramento Kings,33,32,12,29,25,22,36,23,"05.11.2022
AOT"
75,Miami Heat,Sacramento Kings,33,20,24,33,32,19,25,31,03.11.2022
76,Charlotte Hornets,Sacramento Kings,34,33,18,23,24,28,37,26,01.11.2022
77,Sacramento Kings,Miami Heat,32,39,19,29,23,26,33,31,29.10.2022
78,Sacramento Kings,Memphis Grizzlies,28,28,27,27,32,31,31,31,28.10.2022
79,Golden State Warriors,Sacramento Kings,39,50,24,17,36,35,23,31,24.10.2022
80,Sacramento Kings,Los Angeles Clippers,26,29,25,29,29,23,34,25,23.10.2022
81,Sacramento Kings,Portland Trail Blazers,23,32,29,24,32,19,33,31,20.10.2022
82,Sacramento Kings,Los Angeles Lakers,36,29,30,38,23,21,18,24,15.10.2022
83,Phoenix Suns,Sacramento Kings,32,25,19,28,24,30,29,22,13.10.2022
84,Sacramento Kings,Portland Trail Blazers,31,39,28,28,19,34,24,17,10.10.2022
85,Los Angeles Lakers,Sacramento Kings,27,19,13,16,21,20,35,29,04.10.2022
86,Sacramento Kings,Houston Rockets,26,19,23,24,24,15,17,25,17.07.2022
87,Phoenix Suns,Sacramento Kings,12,24,15,18,22,30,20,10,16.07.2022
88,Oklahoma City Thunder,Sacramento Kings,15,29,24,18,19,13,21,27,14.07.2022
89,Sacramento Kings,Indiana Pacers,33,24,17,29,25,24,26,21,10.07.2022
90,Sacramento Kings,Orlando Magic,24,18,17,28,18,26,26,17,"09.07.2022
AOT"
91,Los Angeles Lakers,Sacramento Kings,22,21,11,21,24,19,22,22,05.07.2022
92,Sacramento Kings,Miami Heat,17,16,20,28,14,21,21,8,03.07.2022
93,Golden State Warriors,Sacramento Kings,13,19,20,16,17,21,29,19,03.07.2022
94,Phoenix Suns,Sacramento Kings,24,27,26,32,33,34,19,30,11.04.2022
95,Los Angeles Clippers,Sacramento Kings,31,28,33,25,16,29,26,27,10.04.2022
96,Sacramento Kings,New Orleans Pelicans,25,32,27,25,27,33,35,28,06.04.2022
97,Sacramento Kings,Golden State Warriors,14,28,25,23,28,34,19,28,04.04.2022
98,Houston Rockets,Sacramento Kings,41,21,29,26,26,31,29,36,02.04.2022
99,Houston Rockets,Sacramento Kings,39,27,37,15,28,44,32,17,31.03.2022
100,Miami Heat,Sacramento Kings,31,26,36,30,19,22,27,32,29.03.2022
101,Orlando Magic,Sacramento Kings,28,34,22,21,41,25,15,24,"27.03.2022
AOT"
102,Indiana Pacers,Sacramento Kings,34,27,28,20,37,29,19,25,24.03.2022
103,Sacramento Kings,Phoenix Suns,26,33,28,23,22,27,34,27,"20.03.2022
AOT"
104,Sacramento Kings,Boston Celtics,26,22,31,18,32,35,25,34,19.03.2022
105,Sacramento Kings,Milwaukee Bucks,31,30,31,34,28,40,33,34,17.03.2022
106,Sacramento Kings,Chicago Bulls,27,36,25,24,17,26,34,26,15.03.2022
107,Utah Jazz,Sacramento Kings,37,34,29,34,42,25,21,37,13.03.2022
108,Sacramento Kings,Denver Nuggets,29,22,26,23,32,31,17,26,10.03.2022
109,Sacramento Kings,New York Knicks,33,30,24,28,17,31,44,39,08.03.2022
110,Dallas Mavericks,Sacramento Kings,26,25,34,29,36,29,27,21,05.03.2022
111,San Antonio Spurs,Sacramento Kings,27,24,31,30,30,34,24,27,04.03.2022
112,New Orleans Pelicans,Sacramento Kings,31,34,31,29,33,28,21,13,03.03.2022
113,Oklahoma City Thunder,Sacramento Kings,32,27,31,20,35,24,40,32,01.03.2022
114,Denver Nuggets,Sacramento Kings,38,21,26,30,30,29,26,25,27.02.2022
115,Sacramento Kings,Denver Nuggets,25,33,29,23,35,28,29,36,25.02.2022
116,Chicago Bulls,Sacramento Kings,33,32,25,35,30,29,29,30,17.02.2022
117,Brooklyn Nets,Sacramento Kings,35,20,25,29,24,24,18,19,15.02.2022
118,Washington Wizards,Sacramento Kings,29,36,23,22,24,35,33,31,13.02.2022
119,Sacramento Kings,Minnesota Timberwolves,29,42,28,33,37,27,37,18,10.02.2022
120,Sacramento Kings,Minnesota Timberwolves,35,32,23,24,35,38,29,32,09.02.2022
121,Sacramento Kings,Oklahoma City Thunder,36,28,25,24,30,27,22,24,06.02.2022
122,Golden State Warriors,Sacramento Kings,34,39,21,32,23,31,29,31,04.02.2022
123,Sacramento Kings,Brooklyn Nets,23,31,29,29,32,30,24,15,03.02.2022
124,New York Knicks,Sacramento Kings,31,23,30,32,23,18,25,30,01.02.2022
125,Philadelphia 76ers,Sacramento Kings,27,23,31,22,31,30,22,18,30.01.2022
126,Atlanta Hawks,Sacramento Kings,21,46,27,27,33,17,24,30,27.01.2022
127,Boston Celtics,Sacramento Kings,38,25,34,31,13,17,25,20,26.01.2022
128,Milwaukee Bucks,Sacramento Kings,27,35,32,39,35,19,32,41,23.01.2022
129,Sacramento Kings,Detroit Pistons,26,45,32,28,33,33,39,28,20.01.2022
130,Sacramento Kings,Houston Rockets,21,39,28,24,29,26,30,33,17.01.2022
131,Sacramento Kings,Houston Rockets,31,34,33,28,40,20,29,25,15.01.2022
132,Sacramento Kings,Los Angeles Lakers,29,32,40,24,34,33,23,26,13.01.2022
133,Sacramento Kings,Cleveland Cavaliers,22,27,30,29,28,34,22,25,11.01.2022
134,Portland Trail Blazers,Sacramento Kings,27,26,29,21,21,19,27,21,10.01.2022
135,Denver Nuggets,Sacramento Kings,35,31,30,25,23,31,31,26,08.01.2022
136,Sacramento Kings,Atlanta Hawks,24,21,30,27,33,21,24,30,06.01.2022
137,Los Angeles Lakers,Sacramento Kings,26,31,28,37,31,28,24,31,05.01.2022
138,Sacramento Kings,Miami Heat,26,35,29,25,18,39,33,23,03.01.2022
139,Sacramento Kings,Dallas Mavericks,39,17,20,20,34,28,32,18,01.01.2022
140,Sacramento Kings,Dallas Mavericks,20,35,17,23,30,13,26,25,30.12.2021
141,Sacramento Kings,Oklahoma City Thunder,32,29,26,30,34,23,24,30,29.12.2021
142,Sacramento Kings,Memphis Grizzlies,24,26,27,25,20,29,40,38,27.12.2021
143,Sacramento Kings,Los Angeles Clippers,20,18,30,21,25,24,25,31,23.12.2021
144,Golden State Warriors,Sacramento Kings,26,32,26,29,16,30,33,19,21.12.2021
145,Sacramento Kings,San Antonio Spurs,37,26,28,30,27,29,29,29,20.12.2021
146,Sacramento Kings,Memphis Grizzlies,31,25,19,30,29,29,33,33,18.12.2021
147,Sacramento Kings,Washington Wizards,27,29,28,35,32,25,32,16,16.12.2021
148,Toronto Raptors,Sacramento Kings,30,40,23,31,22,23,24,32,14.12.2021
149,Cleveland Cavaliers,Sacramento Kings,36,45,20,16,23,29,26,25,12.12.2021
150,Charlotte Hornets,Sacramento Kings,37,32,29,26,36,35,28,24,11.12.2021
151,Sacramento Kings,Orlando Magic,38,32,34,38,36,31,25,38,09.12.2021
152,Sacramento Kings,Los Angeles Clippers,29,21,26,28,29,16,25,29,05.12.2021
153,Los Angeles Clippers,Sacramento Kings,21,31,24,39,29,33,37,25,02.12.2021
154,Sacramento Kings,Los Angeles Lakers,28,31,15,18,20,30,37,30,01.12.2021
155,Memphis Grizzlies,Sacramento Kings,38,38,30,22,25,27,22,27,29.11.2021
156,Los Angeles Lakers,Sacramento Kings,20,23,35,22,20,23,30,27,"27.11.2021
AOT"
157,Sacramento Kings,Portland Trail Blazers,32,37,24,32,36,35,21,29,25.11.2021
158,Sacramento Kings,Philadelphia 76ers,33,19,30,12,28,27,22,25,23.11.2021
159,Sacramento Kings,Utah Jazz,28,21,31,25,29,25,30,39,21.11.2021
160,Sacramento Kings,Toronto Raptors,27,18,21,23,30,33,33,12,20.11.2021
161,Minnesota Timberwolves,Sacramento Kings,22,22,33,30,18,30,24,25,18.11.2021
162,Detroit Pistons,Sacramento Kings,12,32,26,37,31,37,24,37,16.11.2021
163,Oklahoma City Thunder,Sacramento Kings,16,32,29,28,23,39,24,17,13.11.2021
164,San Antonio Spurs,Sacramento Kings,34,37,33,32,20,34,33,30,11.11.2021
165,Sacramento Kings,Phoenix Suns,28,36,12,28,34,33,31,11,09.11.2021
166,Sacramento Kings,Indiana Pacers,19,24,24,24,27,21,26,20,08.11.2021
167,Sacramento Kings,Charlotte Hornets,41,33,32,34,22,31,36,21,06.11.2021
168,Sacramento Kings,New Orleans Pelicans,27,29,36,20,26,26,35,12,04.11.2021
