,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
64,Cleveland Cavaliers,Portland Trail Blazers,28,29,30,27,21,27,27,21,24.11.2022
65,Cleveland Cavaliers,Atlanta Hawks,38,26,21,29,26,33,23,20,22.11.2022
66,Cleveland Cavaliers,Miami Heat,28,31,36,18,27,15,22,23,21.11.2022
67,Cleveland Cavaliers,Charlotte Hornets,28,30,24,23,14,32,24,35,"19.11.2022
AOT"
68,Milwaukee Bucks,Cleveland Cavaliers,34,27,34,18,37,23,18,20,17.11.2022
69,Cleveland Cavaliers,Minnesota Timberwolves,20,30,34,40,40,27,37,25,14.11.2022
70,Golden State Warriors,Cleveland Cavaliers,25,23,26,32,25,27,25,24,12.11.2022
71,Sacramento Kings,Cleveland Cavaliers,34,35,28,30,29,29,35,27,10.11.2022
72,Los Angeles Clippers,Cleveland Cavaliers,31,33,24,31,37,27,23,30,08.11.2022
73,Los Angeles Lakers,Cleveland Cavaliers,36,28,16,20,30,28,29,27,06.11.2022
74,Detroit Pistons,Cleveland Cavaliers,21,18,29,20,24,33,33,22,05.11.2022
75,Cleveland Cavaliers,Boston Celtics,35,15,33,24,27,29,20,31,"03.11.2022
AOT"
76,Cleveland Cavaliers,New York Knicks,35,27,22,37,30,29,34,15,30.10.2022
77,Boston Celtics,Cleveland Cavaliers,34,41,24,15,33,29,33,19,"29.10.2022
AOT"
78,Cleveland Cavaliers,Orlando Magic,30,24,19,30,24,26,19,23,27.10.2022
79,Cleveland Cavaliers,Washington Wizards,30,27,26,20,31,20,25,27,"24.10.2022
AOT"
80,Chicago Bulls,Cleveland Cavaliers,25,29,25,17,34,36,23,35,23.10.2022
81,Toronto Raptors,Cleveland Cavaliers,28,23,25,32,22,35,27,21,20.10.2022
82,Orlando Magic,Cleveland Cavaliers,26,26,30,32,25,30,25,28,15.10.2022
83,Cleveland Cavaliers,Atlanta Hawks,19,32,24,30,24,17,31,27,13.10.2022
84,Cleveland Cavaliers,Philadelphia 76ers,20,30,25,22,33,28,25,27,11.10.2022
85,Philadelphia 76ers,Cleveland Cavaliers,28,32,30,23,33,31,26,22,06.10.2022
86,Cleveland Cavaliers,Atlanta Hawks,24,20,24,26,20,20,21,29,16.07.2022
87,Detroit Pistons,Cleveland Cavaliers,13,13,23,30,28,17,15,22,14.07.2022
88,Charlotte Hornets,Cleveland Cavaliers,19,27,29,16,18,26,19,17,13.07.2022
89,Cleveland Cavaliers,Denver Nuggets,26,20,14,16,21,29,15,19,11.07.2022
90,Cleveland Cavaliers,San Antonio Spurs,27,21,30,21,22,23,17,28,08.07.2022
91,Cleveland Cavaliers,Atlanta Hawks,36,25,23,17,25,26,33,23,16.04.2022
92,Brooklyn Nets,Cleveland Cavaliers,40,17,28,30,20,23,30,35,13.04.2022
93,Cleveland Cavaliers,Milwaukee Bucks,46,33,32,22,20,26,33,36,10.04.2022
94,Brooklyn Nets,Cleveland Cavaliers,34,28,21,35,19,35,34,19,09.04.2022
95,Orlando Magic,Cleveland Cavaliers,35,24,32,29,36,25,25,29,06.04.2022
96,Cleveland Cavaliers,Philadelphia 76ers,23,32,25,28,21,28,32,31,03.04.2022
97,New York Knicks,Cleveland Cavaliers,30,30,25,16,39,29,34,17,02.04.2022
98,Atlanta Hawks,Cleveland Cavaliers,36,30,34,31,28,25,22,32,01.04.2022
