,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
68,Phoenix Suns,Golden State Warriors,36,36,31,27,33,32,24,30,17.11.2022
69,Miami Heat,Phoenix Suns,35,23,26,29,31,26,34,21,15.11.2022
70,Orlando Magic,Phoenix Suns,30,28,29,27,23,29,22,23,12.11.2022
71,Minnesota Timberwolves,Phoenix Suns,25,26,31,35,39,30,35,25,10.11.2022
72,Philadelphia 76ers,Phoenix Suns,33,23,19,25,20,27,23,18,08.11.2022
73,Phoenix Suns,Portland Trail Blazers,35,26,23,18,26,14,21,21,06.11.2022
74,Phoenix Suns,Portland Trail Blazers,28,21,31,26,25,34,27,22,05.11.2022
75,Phoenix Suns,Minnesota Timberwolves,24,30,30,32,20,27,26,34,02.11.2022
76,Phoenix Suns,Houston Rockets,29,36,25,34,24,32,30,23,31.10.2022
77,Phoenix Suns,New Orleans Pelicans,21,36,36,31,27,25,31,28,29.10.2022
78,Phoenix Suns,Golden State Warriors,37,35,33,29,29,37,20,19,26.10.2022
79,Los Angeles Clippers,Phoenix Suns,18,23,31,23,33,28,25,26,24.10.2022
80,Portland Trail Blazers,Phoenix Suns,25,22,28,27,28,25,26,23,"22.10.2022
AOT"
81,Phoenix Suns,Dallas Mavericks,24,21,31,31,32,30,19,24,20.10.2022
82,Phoenix Suns,Sacramento Kings,32,25,19,28,24,30,29,22,13.10.2022
83,Denver Nuggets,Phoenix Suns,30,24,24,29,35,24,22,24,11.10.2022
84,Los Angeles Lakers,Phoenix Suns,35,34,26,20,28,34,29,28,06.10.2022
85,Phoenix Suns (Usa),Adelaide (Aus),28,31,31,34,33,38,25,38,03.10.2022
86,Indiana Pacers,Phoenix Suns,11,19,18,21,20,14,30,20,17.07.2022
87,Phoenix Suns,Sacramento Kings,12,24,15,18,22,30,20,10,16.07.2022
88,Dallas Mavericks,Phoenix Suns,13,12,22,31,26,21,29,29,13.07.2022
89,Phoenix Suns,Washington Wizards,13,19,20,20,20,31,21,25,10.07.2022
90,Los Angeles Lakers,Phoenix Suns,17,25,21,21,24,24,33,23,09.07.2022
91,Phoenix Suns,Dallas Mavericks,17,10,23,40,27,30,35,31,16.05.2022
