,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
66,Milwaukee Bucks,Portland Trail Blazers,30,33,30,26,32,29,18,32,22.11.2022
67,Philadelphia 76ers,Milwaukee Bucks,24,31,34,21,34,28,22,18,19.11.2022
68,Milwaukee Bucks,Cleveland Cavaliers,34,27,34,18,37,23,18,20,17.11.2022
69,Milwaukee Bucks,Atlanta Hawks,24,26,30,26,29,34,31,27,15.11.2022
70,San Antonio Spurs,Milwaukee Bucks,31,23,29,28,27,19,30,17,12.11.2022
71,Oklahoma City Thunder,Milwaukee Bucks,27,28,32,32,27,28,29,35,"10.11.2022
AOT"
72,Atlanta Hawks,Milwaukee Bucks,25,27,37,28,36,22,22,18,08.11.2022
73,Milwaukee Bucks,Oklahoma City Thunder,34,33,26,15,34,19,25,16,06.11.2022
74,Minnesota Timberwolves,Milwaukee Bucks,26,28,30,18,34,27,34,20,05.11.2022
75,Milwaukee Bucks,Detroit Pistons,31,25,29,31,26,21,21,23,03.11.2022
76,Milwaukee Bucks,Detroit Pistons,34,26,28,22,23,29,25,31,01.11.2022
77,Milwaukee Bucks,Atlanta Hawks,32,27,32,32,30,21,33,31,30.10.2022
78,Milwaukee Bucks,New York Knicks,26,33,37,23,24,29,32,23,29.10.2022
79,Milwaukee Bucks,Brooklyn Nets,25,18,35,32,20,35,21,23,27.10.2022
80,Milwaukee Bucks,Houston Rockets,41,26,31,27,23,25,31,26,23.10.2022
81,Philadelphia 76ers,Milwaukee Bucks,24,21,18,25,30,17,26,17,21.10.2022
82,Milwaukee Bucks,Brooklyn Nets,25,26,24,22,33,26,33,15,13.10.2022
83,Chicago Bulls,Milwaukee Bucks,29,32,28,38,22,37,20,25,12.10.2022
84,Milwaukee Bucks,Atlanta Hawks,25,30,20,34,24,39,33,22,08.10.2022
85,Atlanta Hawks,Milwaukee Bucks,32,39,30,22,33,34,27,19,06.10.2022
86,Milwaukee Bucks,Memphis Grizzlies,16,32,28,26,18,27,21,41,02.10.2022
87,Toronto Raptors,Milwaukee Bucks,18,20,21,21,16,10,15,28,17.07.2022
88,Milwaukee Bucks,Dallas Mavericks,17,25,31,27,28,14,18,29,15.07.2022
89,Milwaukee Bucks,Minnesota Timberwolves,21,20,24,22,18,21,24,12,13.07.2022
90,Boston Celtics,Milwaukee Bucks,22,30,28,31,24,20,39,26,12.07.2022
91,Milwaukee Bucks,Brooklyn Nets,21,23,28,22,20,20,15,35,09.07.2022
92,Boston Celtics,Milwaukee Bucks,20,28,31,30,26,17,21,17,15.05.2022
93,Milwaukee Bucks,Boston Celtics,26,17,27,25,28,25,29,26,14.05.2022
94,Boston Celtics,Milwaukee Bucks,26,28,32,21,28,19,30,33,12.05.2022
95,Milwaukee Bucks,Boston Celtics,25,23,32,28,18,29,26,43,10.05.2022
96,Milwaukee Bucks,Boston Celtics,22,24,34,23,19,31,17,34,07.05.2022
97,Boston Celtics,Milwaukee Bucks,32,33,18,26,21,19,26,20,04.05.2022
98,Boston Celtics,Milwaukee Bucks,24,22,24,19,27,29,22,23,01.05.2022
99,Milwaukee Bucks,Chicago Bulls,34,26,31,25,18,24,26,32,28.04.2022
