,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
68,Chicago Bulls,Denver Nuggets,20,27,29,27,32,30,35,29,14.11.2022
69,Chicago Bulls,New Orleans Pelicans,22,28,32,29,22,30,27,36,10.11.2022
70,Chicago Bulls,Toronto Raptors,30,28,28,25,27,26,17,27,08.11.2022
71,Toronto Raptors,Chicago Bulls,21,34,28,30,30,19,33,22,07.11.2022
72,Boston Celtics,Chicago Bulls,26,37,30,30,31,26,30,32,05.11.2022
73,Chicago Bulls,Charlotte Hornets,27,34,23,22,26,26,18,18,03.11.2022
74,Brooklyn Nets,Chicago Bulls,27,31,22,19,25,27,25,31,02.11.2022
75,Chicago Bulls,Philadelphia 76ers,22,34,31,22,37,27,26,24,30.10.2022
76,San Antonio Spurs,Chicago Bulls,36,26,32,35,29,31,34,30,29.10.2022
77,Chicago Bulls,Indiana Pacers,38,38,27,21,27,30,36,16,27.10.2022
78,Chicago Bulls,Boston Celtics,30,35,35,20,39,15,25,23,25.10.2022
79,Chicago Bulls,Cleveland Cavaliers,25,29,25,17,34,36,23,35,23.10.2022
80,Washington Wizards,Chicago Bulls,26,30,21,25,30,20,24,26,22.10.2022
81,Miami Heat,Chicago Bulls,33,26,27,22,28,31,37,20,20.10.2022
82,Chicago Bulls,Milwaukee Bucks,29,32,28,38,22,37,20,25,12.10.2022
83,Toronto Raptors,Chicago Bulls,38,19,23,18,27,20,30,38,09.10.2022
84,Chicago Bulls,Denver Nuggets,27,45,33,26,26,37,25,25,08.10.2022
85,Chicago Bulls,New Orleans Pelicans,25,28,39,33,40,30,34,25,05.10.2022
86,Philadelphia 76ers,Chicago Bulls,25,23,34,22,29,29,31,30,17.07.2022
87,Charlotte Hornets,Chicago Bulls,14,10,23,26,20,22,25,22,14.07.2022
88,Toronto Raptors,Chicago Bulls,19,18,18,28,24,28,29,12,12.07.2022
89,New York Knicks,Chicago Bulls,27,32,20,22,11,13,26,19,10.07.2022
90,Chicago Bulls,Dallas Mavericks,21,12,25,32,17,30,17,26,"08.07.2022
AOT"
91,Milwaukee Bucks,Chicago Bulls,34,26,31,25,18,24,26,32,28.04.2022
92,Chicago Bulls,Milwaukee Bucks,22,19,33,21,25,31,34,29,24.04.2022
93,Chicago Bulls,Milwaukee Bucks,17,24,18,22,33,27,30,21,23.04.2022
94,Milwaukee Bucks,Chicago Bulls,28,21,31,30,29,34,24,27,21.04.2022
95,Milwaukee Bucks,Chicago Bulls,34,17,23,19,21,22,28,15,17.04.2022
96,Minnesota Timberwolves,Chicago Bulls,21,26,40,33,33,37,27,27,11.04.2022
97,Chicago Bulls,Charlotte Hornets,30,21,32,34,39,40,32,22,09.04.2022
98,Chicago Bulls,Boston Celtics,19,32,16,27,32,35,24,26,07.04.2022
99,Chicago Bulls,Milwaukee Bucks,20,26,36,24,26,32,38,31,06.04.2022
100,Chicago Bulls,Miami Heat,30,27,22,30,31,35,32,29,03.04.2022
101,Chicago Bulls,Los Angeles Clippers,22,28,32,36,32,27,33,26,"01.04.2022
AOT"
102,Washington Wizards,Chicago Bulls,23,23,27,21,28,23,24,32,30.03.2022
103,New York Knicks,Chicago Bulls,24,29,28,28,28,22,25,29,29.03.2022
104,Cleveland Cavaliers,Chicago Bulls,16,19,28,31,28,25,22,23,27.03.2022
105,New Orleans Pelicans,Chicago Bulls,31,32,23,40,39,23,23,24,25.03.2022
106,Milwaukee Bucks,Chicago Bulls,33,26,32,35,20,23,26,29,23.03.2022
107,Chicago Bulls,Toronto Raptors,30,24,30,29,24,31,18,26,22.03.2022
108,Phoenix Suns,Chicago Bulls,30,31,34,34,27,21,24,30,19.03.2022
109,Utah Jazz,Chicago Bulls,27,27,35,36,27,22,32,29,17.03.2022
110,Sacramento Kings,Chicago Bulls,27,36,25,24,17,26,34,26,15.03.2022
111,Chicago Bulls,Cleveland Cavaliers,24,29,24,24,22,20,24,25,13.03.2022
112,Detroit Pistons,Chicago Bulls,26,30,35,17,25,28,31,30,10.03.2022
113,Philadelphia 76ers,Chicago Bulls,37,22,29,33,32,21,24,29,08.03.2022
114,Chicago Bulls,Milwaukee Bucks,25,28,35,24,25,32,24,37,05.03.2022
115,Atlanta Hawks,Chicago Bulls,29,27,34,40,35,28,29,32,04.03.2022
116,Miami Heat,Chicago Bulls,30,25,36,21,21,25,21,32,01.03.2022
117,Chicago Bulls,Memphis Grizzlies,22,30,27,31,31,28,34,23,27.02.2022
118,Chicago Bulls,Atlanta Hawks,24,28,30,30,19,31,32,26,25.02.2022
119,Chicago Bulls,Sacramento Kings,33,32,25,35,30,29,29,30,17.02.2022
120,Chicago Bulls,San Antonio Spurs,29,30,24,37,27,30,32,20,15.02.2022
121,Chicago Bulls,Oklahoma City Thunder,22,28,31,25,29,25,26,21,13.02.2022
122,Chicago Bulls,Minnesota Timberwolves,27,33,32,42,27,32,32,31,12.02.2022
123,Charlotte Hornets,Chicago Bulls,29,16,31,33,28,30,31,32,10.02.2022
124,Chicago Bulls,Phoenix Suns,29,20,34,41,36,31,35,25,08.02.2022
125,Chicago Bulls,Philadelphia 76ers,26,26,29,27,34,27,28,30,06.02.2022
126,Indiana Pacers,Chicago Bulls,33,29,28,25,40,25,28,29,05.02.2022
127,Toronto Raptors,Chicago Bulls,26,28,33,27,24,26,31,33,"04.02.2022
AOT"
128,Chicago Bulls,Orlando Magic,34,36,33,23,33,30,31,21,02.02.2022
129,Chicago Bulls,Portland Trail Blazers,29,44,31,26,35,30,27,24,30.01.2022
130,San Antonio Spurs,Chicago Bulls,29,34,35,33,35,33,23,31,29.01.2022
131,Chicago Bulls,Toronto Raptors,31,36,24,20,27,23,32,23,27.01.2022
132,Oklahoma City Thunder,Chicago Bulls,27,21,30,32,35,23,34,19,25.01.2022
133,Orlando Magic,Chicago Bulls,23,30,32,29,19,18,37,21,24.01.2022
134,Milwaukee Bucks,Chicago Bulls,24,21,23,26,20,24,25,21,22.01.2022
135,Chicago Bulls,Cleveland Cavaliers,24,34,29,30,29,20,29,26,20.01.2022
136,Memphis Grizzlies,Chicago Bulls,20,38,34,27,20,25,27,34,17.01.2022
137,Boston Celtics,Chicago Bulls,32,22,30,30,22,27,34,29,16.01.2022
138,Chicago Bulls,Golden State Warriors,28,19,25,24,37,41,34,26,15.01.2022
139,Chicago Bulls,Brooklyn Nets,31,29,19,33,38,24,39,37,13.01.2022
140,Chicago Bulls,Detroit Pistons,28,33,36,36,27,25,14,21,12.01.2022
141,Dallas Mavericks,Chicago Bulls,22,32,29,30,32,23,24,20,10.01.2022
142,Chicago Bulls,Washington Wizards,37,36,34,23,32,34,29,27,08.01.2022
143,Chicago Bulls,Orlando Magic,15,30,24,33,21,19,26,32,04.01.2022
144,Washington Wizards,Chicago Bulls,32,32,24,31,25,27,34,34,02.01.2022
145,Indiana Pacers,Chicago Bulls,23,27,29,27,25,29,28,26,31.12.2021
146,Chicago Bulls,Atlanta Hawks,38,36,30,27,36,17,34,30,30.12.2021
147,Atlanta Hawks,Chicago Bulls,36,27,24,31,31,38,29,32,28.12.2021
148,Chicago Bulls,Indiana Pacers,33,30,24,26,27,21,31,26,27.12.2021
149,Chicago Bulls,Houston Rockets,35,38,32,28,26,28,29,35,21.12.2021
150,Chicago Bulls,Los Angeles Lakers,28,33,22,32,22,37,25,26,20.12.2021
151,Miami Heat,Chicago Bulls,39,26,21,32,25,27,18,22,12.12.2021
152,Cleveland Cavaliers,Chicago Bulls,29,23,30,33,24,19,23,26,09.12.2021
153,Chicago Bulls,Denver Nuggets,18,28,31,32,27,22,22,26,07.12.2021
154,Brooklyn Nets,Chicago Bulls,34,22,26,25,28,24,27,32,05.12.2021
155,New York Knicks,Chicago Bulls,19,32,32,32,37,32,20,30,03.12.2021
156,Chicago Bulls,Charlotte Hornets,30,39,35,29,31,27,27,34,30.11.2021
157,Chicago Bulls,Miami Heat,20,26,28,30,27,22,23,35,28.11.2021
158,Orlando Magic,Chicago Bulls,27,19,23,19,27,28,35,33,27.11.2021
159,Houston Rockets,Chicago Bulls,30,25,35,28,32,32,18,31,25.11.2021
160,Chicago Bulls,Indiana Pacers,16,30,15,16,31,36,22,20,23.11.2021
161,Chicago Bulls,New York Knicks,25,26,21,37,20,25,29,29,22.11.2021
162,Denver Nuggets,Chicago Bulls,30,22,26,30,30,23,35,26,20.11.2021
163,Portland Trail Blazers,Chicago Bulls,24,24,33,31,33,30,22,22,18.11.2021
164,Los Angeles Lakers,Chicago Bulls,25,23,25,30,33,24,37,27,16.11.2021
165,Los Angeles Clippers,Chicago Bulls,17,28,26,19,30,24,23,23,15.11.2021
166,Golden State Warriors,Chicago Bulls,23,28,35,33,29,16,17,31,13.11.2021
167,Chicago Bulls,Dallas Mavericks,32,29,34,22,33,21,26,27,11.11.2021
168,Chicago Bulls,Brooklyn Nets,35,16,25,42,27,30,21,17,09.11.2021
169,Chicago Bulls,Philadelphia 76ers,21,26,30,28,22,35,27,30,07.11.2021
170,Philadelphia 76ers,Chicago Bulls,29,29,26,19,19,25,28,26,04.11.2021
171,Boston Celtics,Chicago Bulls,35,32,36,11,34,25,30,39,02.11.2021
172,Chicago Bulls,Utah Jazz,25,29,25,28,24,33,15,27,31.10.2021
173,Chicago Bulls,New York Knicks,25,26,22,30,27,28,27,22,29.10.2021
174,Toronto Raptors,Chicago Bulls,24,27,29,28,24,37,31,19,26.10.2021
175,Chicago Bulls,Detroit Pistons,31,23,25,18,28,15,11,28,24.10.2021
176,Chicago Bulls,New Orleans Pelicans,28,37,27,36,17,30,28,37,23.10.2021
177,Detroit Pistons,Chicago Bulls,20,24,25,19,14,26,31,23,21.10.2021
178,Chicago Bulls,Memphis Grizzlies,28,27,27,36,35,18,28,24,16.10.2021
179,Cleveland Cavaliers,Chicago Bulls,27,25,23,26,28,24,27,23,11.10.2021
180,Chicago Bulls,New Orleans Pelicans,30,33,33,25,17,21,19,28,09.10.2021
181,Chicago Bulls,Cleveland Cavaliers,33,36,44,18,27,21,24,23,06.10.2021
182,Chicago Bulls,Charlotte Hornets,17,28,31,23,13,15,22,24,17.08.2021
183,Chicago Bulls,Memphis Grizzlies,19,22,31,19,24,29,16,27,16.08.2021
184,Minnesota Timberwolves,Chicago Bulls,15,15,28,20,14,18,15,12,12.08.2021
185,San Antonio Spurs,Chicago Bulls,26,26,17,20,14,23,29,26,11.08.2021
186,Chicago Bulls,New Orleans Pelicans,26,21,19,11,23,21,25,25,09.08.2021
187,Chicago Bulls,Milwaukee Bucks,33,22,36,27,23,31,31,27,17.05.2021
188,Brooklyn Nets,Chicago Bulls,28,33,18,26,29,22,20,20,15.05.2021
189,Chicago Bulls,Toronto Raptors,30,36,22,26,27,20,29,26,14.05.2021
190,Chicago Bulls,Brooklyn Nets,23,28,23,33,32,32,29,22,12.05.2021
191,Detroit Pistons,Chicago Bulls,18,21,29,28,28,29,26,25,10.05.2021
