,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
21,Dallas Mavericks,Philadelphia 76ers,38,33,39,23,37,30,24,35,03.03. 01:30
22,Miami Heat,Philadelphia 76ers,38,15,24,19,34,37,25,23,02.03. 01:30
23,Philadelphia 76ers,Miami Heat,22,28,30,19,28,30,26,17,28.02. 01:00
24,Philadelphia 76ers,Boston Celtics,30,26,22,29,28,22,30,30,26.02. 02:30
25,Philadelphia 76ers,Memphis Grizzlies,22,25,28,35,37,22,22,24,24.02. 01:30
26,Philadelphia 76ers,Cleveland Cavaliers,38,25,24,31,24,14,32,42,16.02. 01:30
27,Philadelphia 76ers,Houston Rockets,32,23,35,33,29,19,30,26,14.02. 01:00
28,Brooklyn Nets,Philadelphia 76ers,28,32,22,16,26,26,24,25,12.02. 00:00
29,Philadelphia 76ers,New York Knicks,28,31,33,27,36,29,28,15,11.02. 01:00
30,Boston Celtics,Philadelphia 76ers,30,29,27,20,27,28,24,20,09.02. 01:30
31,New York Knicks,Philadelphia 76ers,24,27,25,32,35,18,26,18,06.02. 00:15
32,San Antonio Spurs,Philadelphia 76ers,26,35,26,38,26,47,33,31,04.02. 02:00
33,Philadelphia 76ers,Orlando Magic,37,19,26,23,23,30,25,16,02.02. 01:00
34,Philadelphia 76ers,Orlando Magic,30,32,28,19,17,35,42,25,31.01. 01:00
35,Philadelphia 76ers,Denver Nuggets,29,29,38,30,38,35,26,20,28.01. 21:00
36,Philadelphia 76ers,Brooklyn Nets,41,34,32,30,41,24,33,35,26.01. 01:30
37,Sacramento Kings,Philadelphia 76ers,35,39,22,31,27,37,38,27,22.01. 04:00
38,Portland Trail Blazers,Philadelphia 76ers,14,20,31,30,26,31,22,26,20.01. 04:00
39,Los Angeles Clippers,Philadelphia 76ers,27,25,37,21,34,29,27,30,18.01. 04:00
40,Los Angeles Lakers,Philadelphia 76ers,32,26,25,29,33,24,29,27,16.01. 03:30
41,Utah Jazz,Philadelphia 76ers,24,32,29,32,41,25,22,30,15.01. 03:00
42,Philadelphia 76ers,Oklahoma City Thunder,35,22,28,29,35,32,34,32,13.01. 01:00
43,Philadelphia 76ers,Detroit Pistons,27,38,42,40,20,23,32,41,11.01. 01:00
44,Detroit Pistons,Philadelphia 76ers,27,27,28,29,35,36,29,23,08.01. 21:00
45,Philadelphia 76ers,Chicago Bulls,30,25,29,28,25,34,40,27,07.01. 01:00
46,Philadelphia 76ers,Indiana Pacers,27,39,31,23,28,33,23,36,"05.01. 01:00
AOT"
47,Philadelphia 76ers,New Orleans Pelicans,33,24,27,36,25,27,29,30,03.01. 01:00
48,Oklahoma City Thunder,Philadelphia 76ers,20,23,29,24,38,31,20,26,01.01. 02:00
49,New Orleans Pelicans,Philadelphia 76ers,31,36,32,28,27,33,31,25,31.12.2022
50,Washington Wizards,Philadelphia 76ers,32,35,27,22,30,26,29,26,28.12.2022
51,New York Knicks,Philadelphia 76ers,37,26,33,16,25,35,35,24,25.12.2022
52,Philadelphia 76ers,Los Angeles Clippers,24,27,34,34,33,30,22,29,24.12.2022
53,Philadelphia 76ers,Detroit Pistons,37,26,29,21,29,22,27,15,22.12.2022
54,Philadelphia 76ers,Toronto Raptors,22,35,21,21,23,23,32,21,"20.12.2022
AOT"
55,Philadelphia 76ers,Golden State Warriors,33,22,33,30,38,19,24,25,17.12.2022
56,Philadelphia 76ers,Sacramento Kings,39,41,21,22,32,23,28,20,14.12.2022
57,Philadelphia 76ers,Charlotte Hornets,20,41,35,35,21,33,33,26,12.12.2022
58,Philadelphia 76ers,Los Angeles Lakers,31,30,32,27,20,39,24,37,"10.12.2022
AOT"
59,Houston Rockets,Philadelphia 76ers,27,29,34,18,30,25,29,24,"06.12.2022
AOT"
60,Memphis Grizzlies,Philadelphia 76ers,29,35,28,25,30,24,22,33,03.12.2022
61,Cleveland Cavaliers,Philadelphia 76ers,25,44,21,23,21,27,18,19,01.12.2022
62,Philadelphia 76ers,Atlanta Hawks,23,28,30,23,34,21,26,20,29.11.2022
63,Orlando Magic,Philadelphia 76ers,32,13,26,32,36,31,32,34,28.11.2022
64,Orlando Magic,Philadelphia 76ers,29,27,20,23,24,28,30,25,26.11.2022
65,Charlotte Hornets,Philadelphia 76ers,21,32,26,28,33,21,21,26,24.11.2022
66,Philadelphia 76ers,Brooklyn Nets,33,30,22,30,26,31,25,24,23.11.2022
67,Philadelphia 76ers,Minnesota Timberwolves,23,28,33,25,33,30,34,15,20.11.2022
68,Philadelphia 76ers,Milwaukee Bucks,24,31,34,21,34,28,22,18,19.11.2022
69,Philadelphia 76ers,Utah Jazz,26,25,27,27,30,27,21,20,14.11.2022
70,Philadelphia 76ers,Atlanta Hawks,37,30,32,22,24,27,33,25,13.11.2022
71,Atlanta Hawks,Philadelphia 76ers,29,17,34,24,20,22,24,29,11.11.2022
72,Philadelphia 76ers,Phoenix Suns,33,23,19,25,20,27,23,18,08.11.2022
73,Philadelphia 76ers,New York Knicks,22,31,30,21,21,37,16,32,05.11.2022
74,Philadelphia 76ers,Washington Wizards,25,26,39,21,31,26,34,30,02.11.2022
