home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
Sacramento Kings,Miami Heat,32,39,19,29,23,26,33,31,29.10.2022
Golden State Warriors,Miami Heat,31,32,29,31,30,29,28,23,28.10.2022
Portland Trail Blazers,Miami Heat,31,25,25,17,28,33,33,25,27.10.2022
Miami Heat,Toronto Raptors,23,20,33,14,27,21,23,27,25.10.2022
Miami Heat,Toronto Raptors,38,33,21,20,33,17,33,26,23.10.2022
Miami Heat,Boston Celtics,22,29,26,27,30,29,30,22,22.10.2022
Miami Heat,Chicago Bulls,33,26,27,22,28,31,37,20,20.10.2022
Miami Heat,New Orleans Pelicans,37,33,30,20,31,31,21,20,13.10.2022
Miami Heat,Houston Rockets,26,38,33,21,37,26,27,20,11.10.2022
Memphis Grizzlies,Miami Heat,29,28,21,30,21,34,28,28,08.10.2022
Brooklyn Nets,Miami Heat,18,25,14,23,25,36,22,26,07.10.2022
Miami Heat,Minnesota Timberwolves,24,28,31,28,26,38,29,28,05.10.2022
Los Angeles Clippers,Miami Heat,21,20,22,20,22,15,18,31,17.07.2022
Toronto Raptors,Miami Heat,20,28,22,18,18,17,14,29,16.07.2022
Philadelphia 76ers,Miami Heat,17,15,24,19,18,16,20,17,14.07.2022
Miami Heat,Atlanta Hawks,17,27,21,23,23,26,28,18,13.07.2022
Miami Heat,Boston Celtics,24,33,14,17,25,22,14,17,09.07.2022
Miami Heat,Golden State Warriors,27,24,17,26,22,16,21,11,05.07.2022
Sacramento Kings,Miami Heat,17,16,20,28,14,21,21,8,03.07.2022
Miami Heat,Los Angeles Lakers,17,10,14,25,29,22,19,30,02.07.2022
Miami Heat,Boston Celtics,17,32,26,21,32,23,27,18,30.05.2022
Boston Celtics,Miami Heat,22,24,29,28,29,19,34,29,28.05.2022
Miami Heat,Boston Celtics,19,23,16,22,17,20,32,24,26.05.2022
Boston Celtics,Miami Heat,29,28,19,26,11,22,19,30,24.05.2022
Boston Celtics,Miami Heat,18,29,25,31,39,23,25,22,22.05.2022
Miami Heat,Boston Celtics,24,21,26,31,35,35,26,31,20.05.2022
Miami Heat,Boston Celtics,25,29,39,25,28,34,14,31,18.05.2022
Philadelphia 76ers,Miami Heat,25,23,15,27,28,21,25,25,13.05.2022
Miami Heat,Philadelphia 76ers,31,25,25,39,19,25,22,19,11.05.2022
Philadelphia 76ers,Miami Heat,30,34,25,27,28,28,29,23,09.05.2022
Philadelphia 76ers,Miami Heat,21,20,27,31,17,17,31,14,07.05.2022
Miami Heat,Philadelphia 76ers,31,29,31,28,24,28,28,23,05.05.2022
Miami Heat,Philadelphia 76ers,30,20,30,26,22,29,21,20,03.05.2022
Miami Heat,Atlanta Hawks,21,33,21,22,22,20,22,30,27.04.2022
Atlanta Hawks,Miami Heat,26,15,20,25,25,30,25,30,25.04.2022
Atlanta Hawks,Miami Heat,22,39,16,34,24,30,31,25,23.04.2022
Miami Heat,Atlanta Hawks,26,30,31,28,25,29,22,29,20.04.2022
Miami Heat,Atlanta Hawks,23,36,27,29,17,23,20,31,17.04.2022
Orlando Magic,Miami Heat,31,37,33,24,31,28,29,23,11.04.2022
Miami Heat,Atlanta Hawks,24,32,35,22,22,39,26,22,09.04.2022
Miami Heat,Charlotte Hornets,29,41,32,42,32,28,37,18,06.04.2022
Toronto Raptors,Miami Heat,34,21,23,31,28,17,34,35,04.04.2022
Chicago Bulls,Miami Heat,30,27,22,30,31,35,32,29,03.04.2022
Boston Celtics,Miami Heat,29,23,31,15,25,28,26,27,31.03.2022
Miami Heat,Sacramento Kings,31,26,36,30,19,22,27,32,29.03.2022
Miami Heat,Brooklyn Nets,25,21,22,27,27,40,29,14,27.03.2022
Miami Heat,New York Knicks,32,26,30,15,25,24,24,38,26.03.2022
Miami Heat,Golden State Warriors,23,27,30,24,23,27,31,37,24.03.2022
Philadelphia 76ers,Miami Heat,26,31,23,33,32,24,22,28,22.03.2022
Miami Heat,Oklahoma City Thunder,27,42,34,17,26,28,25,29,19.03.2022
Miami Heat,Detroit Pistons,29,28,11,37,22,29,22,25,16.03.2022
Miami Heat,Minnesota Timberwolves,25,42,19,18,30,25,34,24,13.03.2022
Miami Heat,Cleveland Cavaliers,28,30,27,32,18,39,15,33,12.03.2022
Miami Heat,Phoenix Suns,27,28,19,16,29,28,34,20,10.03.2022
Miami Heat,Houston Rockets,25,37,28,33,32,26,20,28,08.03.2022
Miami Heat,Philadelphia 76ers,22,32,19,26,14,26,28,14,06.03.2022
Brooklyn Nets,Miami Heat,35,32,17,23,23,37,28,25,04.03.2022
Milwaukee Bucks,Miami Heat,36,28,29,27,28,38,31,22,03.03.2022
