,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
67,Atlanta Hawks,Boston Celtics,18,35,25,23,30,32,35,29,17.11.2022
68,Milwaukee Bucks,Atlanta Hawks,24,26,30,26,29,34,31,27,15.11.2022
69,Philadelphia 76ers,Atlanta Hawks,37,30,32,22,24,27,33,25,13.11.2022
70,Atlanta Hawks,Philadelphia 76ers,29,17,34,24,20,22,24,29,11.11.2022
71,Atlanta Hawks,Utah Jazz,22,32,36,29,26,37,22,40,10.11.2022
72,Atlanta Hawks,Milwaukee Bucks,25,27,37,28,36,22,22,18,08.11.2022
73,Atlanta Hawks,New Orleans Pelicans,29,31,28,21,28,24,33,24,"06.11.2022
AOT"
74,New York Knicks,Atlanta Hawks,32,33,10,24,21,36,32,23,03.11.2022
75,Toronto Raptors,Atlanta Hawks,34,30,31,44,28,25,27,29,01.11.2022
76,Milwaukee Bucks,Atlanta Hawks,32,27,32,32,30,21,33,31,30.10.2022
77,Detroit Pistons,Atlanta Hawks,29,38,27,18,35,34,37,30,29.10.2022
78,Detroit Pistons,Atlanta Hawks,32,29,28,24,36,26,27,29,27.10.2022
79,Atlanta Hawks,Charlotte Hornets,30,25,29,25,22,37,45,22,23.10.2022
80,Atlanta Hawks,Orlando Magic,19,31,30,28,27,27,27,17,22.10.2022
81,Atlanta Hawks,Houston Rockets,26,33,25,33,20,30,30,27,20.10.2022
82,Atlanta Hawks,New Orleans Pelicans,24,43,25,19,40,24,29,27,15.10.2022
83,Cleveland Cavaliers,Atlanta Hawks,19,32,24,30,24,17,31,27,13.10.2022
84,Milwaukee Bucks,Atlanta Hawks,25,30,20,34,24,39,33,22,08.10.2022
85,Atlanta Hawks,Milwaukee Bucks,32,39,30,22,33,34,27,19,06.10.2022
86,Cleveland Cavaliers,Atlanta Hawks,24,20,24,26,20,20,21,29,16.07.2022
87,San Antonio Spurs,Atlanta Hawks,21,28,21,16,20,16,25,26,14.07.2022
88,Miami Heat,Atlanta Hawks,17,27,21,23,23,26,28,18,13.07.2022
89,Atlanta Hawks,New Orleans Pelicans,20,17,20,16,27,26,14,34,11.07.2022
90,Utah Jazz,Atlanta Hawks,21,18,22,11,13,13,18,22,10.07.2022
91,Miami Heat,Atlanta Hawks,21,33,21,22,22,20,22,30,27.04.2022
92,Atlanta Hawks,Miami Heat,26,15,20,25,25,30,25,30,25.04.2022
93,Atlanta Hawks,Miami Heat,22,39,16,34,24,30,31,25,23.04.2022
94,Miami Heat,Atlanta Hawks,26,30,31,28,25,29,22,29,20.04.2022
95,Miami Heat,Atlanta Hawks,23,36,27,29,17,23,20,31,17.04.2022
96,Cleveland Cavaliers,Atlanta Hawks,36,25,23,17,25,26,33,23,16.04.2022
97,Atlanta Hawks,Charlotte Hornets,32,28,42,30,23,29,24,27,14.04.2022
98,Houston Rockets,Atlanta Hawks,24,35,32,23,35,38,29,28,10.04.2022
99,Miami Heat,Atlanta Hawks,24,32,35,22,22,39,26,22,09.04.2022
100,Atlanta Hawks,Washington Wizards,40,27,28,23,31,34,18,20,07.04.2022
101,Toronto Raptors,Atlanta Hawks,27,29,33,29,31,21,31,25,06.04.2022
102,Atlanta Hawks,Brooklyn Nets,28,37,29,28,30,20,37,28,03.04.2022
103,Atlanta Hawks,Cleveland Cavaliers,36,30,34,31,28,25,22,32,01.04.2022
104,Oklahoma City Thunder,Atlanta Hawks,24,34,31,29,42,43,30,21,31.03.2022
105,Indiana Pacers,Atlanta Hawks,30,33,27,33,44,30,28,30,29.03.2022
106,Atlanta Hawks,Golden State Warriors,36,33,32,20,42,25,16,27,26.03.2022
107,Detroit Pistons,Atlanta Hawks,26,33,34,29,31,20,27,23,24.03.2022
108,New York Knicks,Atlanta Hawks,34,24,31,22,30,34,23,30,23.03.2022
109,Atlanta Hawks,New Orleans Pelicans,18,32,26,36,35,25,31,26,20.03.2022
110,Atlanta Hawks,Memphis Grizzlies,34,33,24,29,27,21,24,33,19.03.2022
111,Charlotte Hornets,Atlanta Hawks,29,33,23,31,33,34,18,21,17.03.2022
112,Atlanta Hawks,Portland Trail Blazers,29,29,31,33,34,33,17,29,15.03.2022
113,Atlanta Hawks,Indiana Pacers,37,40,28,26,28,31,33,36,14.03.2022
114,Atlanta Hawks,Los Angeles Clippers,33,27,30,22,24,35,26,21,12.03.2022
115,Milwaukee Bucks,Atlanta Hawks,37,31,25,31,26,28,32,29,10.03.2022
116,Detroit Pistons,Atlanta Hawks,29,30,19,23,30,26,20,25,"08.03.2022
AOT"
117,Washington Wizards,Atlanta Hawks,25,34,25,30,33,35,25,24,05.03.2022
118,Atlanta Hawks,Chicago Bulls,29,27,34,40,35,28,29,32,04.03.2022
119,Boston Celtics,Atlanta Hawks,19,32,31,25,28,37,13,20,02.03.2022
120,Atlanta Hawks,Toronto Raptors,32,34,38,23,37,21,16,26,27.02.2022
121,Chicago Bulls,Atlanta Hawks,24,28,30,30,19,31,32,26,25.02.2022
122,Orlando Magic,Atlanta Hawks,25,28,29,27,37,35,32,26,17.02.2022
123,Atlanta Hawks,Cleveland Cavaliers,34,32,28,30,36,25,29,26,16.02.2022
124,Boston Celtics,Atlanta Hawks,17,28,42,18,28,27,23,17,13.02.2022
125,Atlanta Hawks,San Antonio Spurs,29,27,31,34,43,30,30,33,12.02.2022
126,Atlanta Hawks,Indiana Pacers,40,36,30,27,22,28,25,37,09.02.2022
127,Dallas Mavericks,Atlanta Hawks,29,25,26,23,26,24,26,18,07.02.2022
128,Toronto Raptors,Atlanta Hawks,39,21,36,29,28,31,27,28,05.02.2022
