,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
65,New Orleans Pelicans,Golden State Warriors,35,30,32,31,16,25,24,18,22.11.2022
66,New Orleans Pelicans,Boston Celtics,25,32,21,31,40,27,22,28,19.11.2022
67,New Orleans Pelicans,Chicago Bulls,32,26,37,29,28,25,25,32,17.11.2022
68,New Orleans Pelicans,Memphis Grizzlies,32,27,30,24,35,25,27,15,16.11.2022
69,New Orleans Pelicans,Houston Rockets,34,29,23,33,26,24,37,19,13.11.2022
70,New Orleans Pelicans,Portland Trail Blazers,27,30,17,21,27,24,27,28,11.11.2022
71,Chicago Bulls,New Orleans Pelicans,22,28,32,29,22,30,27,36,10.11.2022
72,Indiana Pacers,New Orleans Pelicans,32,26,42,29,30,25,36,31,08.11.2022
73,Atlanta Hawks,New Orleans Pelicans,29,31,28,21,28,24,33,24,"06.11.2022
AOT"
74,New Orleans Pelicans,Golden State Warriors,26,35,27,26,27,27,25,26,05.11.2022
75,Los Angeles Lakers,New Orleans Pelicans,23,33,26,29,27,17,35,32,"03.11.2022
AOT"
76,Los Angeles Clippers,New Orleans Pelicans,25,27,15,24,18,34,26,34,30.10.2022
77,Phoenix Suns,New Orleans Pelicans,21,36,36,31,27,25,31,28,29.10.2022
78,New Orleans Pelicans,Dallas Mavericks,40,26,21,26,31,33,25,22,26.10.2022
79,New Orleans Pelicans,Utah Jazz,24,29,31,26,26,37,30,17,"24.10.2022
AOT"
80,Charlotte Hornets,New Orleans Pelicans,24,27,34,27,35,26,32,31,22.10.2022
81,Brooklyn Nets,New Orleans Pelicans,14,36,28,30,32,26,40,32,20.10.2022
82,Atlanta Hawks,New Orleans Pelicans,24,43,25,19,40,24,29,27,15.10.2022
83,Miami Heat,New Orleans Pelicans,37,33,30,20,31,31,21,20,13.10.2022
84,San Antonio Spurs,New Orleans Pelicans,24,20,22,31,28,22,37,24,10.10.2022
85,New Orleans Pelicans,Detroit Pistons,26,33,25,23,25,26,27,23,08.10.2022
86,Chicago Bulls,New Orleans Pelicans,25,28,39,33,40,30,34,25,05.10.2022
87,New Orleans Pelicans,Oklahoma City Thunder,30,21,28,28,21,20,13,17,17.07.2022
88,New Orleans Pelicans,Los Angeles Lakers,27,17,25,25,19,33,28,22,16.07.2022
89,New Orleans Pelicans,Washington Wizards,22,24,28,32,29,20,15,24,13.07.2022
90,Atlanta Hawks,New Orleans Pelicans,20,17,20,16,27,26,14,34,11.07.2022
91,Portland Trail Blazers,New Orleans Pelicans,14,31,23,17,19,17,9,23,10.07.2022
92,New Orleans Pelicans,Phoenix Suns,28,30,27,24,28,20,34,33,29.04.2022
93,Phoenix Suns,New Orleans Pelicans,32,27,30,23,20,26,32,19,27.04.2022
94,New Orleans Pelicans,Phoenix Suns,25,24,35,34,22,29,23,29,25.04.2022
95,New Orleans Pelicans,Phoenix Suns,29,19,31,32,28,31,22,33,23.04.2022
96,Phoenix Suns,New Orleans Pelicans,28,33,22,31,30,26,34,35,20.04.2022
97,Phoenix Suns,New Orleans Pelicans,28,25,26,31,16,18,37,28,18.04.2022
98,Los Angeles Clippers,New Orleans Pelicans,22,24,38,17,30,26,18,31,16.04.2022
99,New Orleans Pelicans,San Antonio Spurs,26,35,31,21,22,28,25,28,14.04.2022
100,New Orleans Pelicans,Golden State Warriors,26,22,28,31,27,41,21,39,11.04.2022
101,Memphis Grizzlies,New Orleans Pelicans,30,34,55,22,18,29,33,34,09.04.2022
